q,CpT_sin,CpT_sn
0.0903848,0.692764,0.785437
0.0911543,0.692511,0.784444
0.0919238,0.692258,0.783457
0.0926934,0.692005,0.782476
0.0934629,0.691753,0.781499
0.0942325,0.691501,0.780528
0.095002,0.69125,0.779562
0.0957715,0.690999,0.778601
0.0965411,0.690748,0.777645
0.0973106,0.690498,0.776694
0.0980802,0.690248,0.775748
0.0988497,0.689998,0.774807
0.0996192,0.689749,0.77387
0.100389,0.689499,0.772938
0.101158,0.689251,0.772011
0.101928,0.689002,0.771088
0.102697,0.688754,0.770169
0.103467,0.688507,0.769255
0.104236,0.688259,0.768346
0.105006,0.688012,0.767441
0.105776,0.687765,0.76654
0.106545,0.687518,0.765643
0.107315,0.687272,0.76475
0.108084,0.687026,0.763861
0.108854,0.68678,0.762977
0.109623,0.686535,0.762096
0.110393,0.68629,0.761219
0.111162,0.686044,0.760346
0.111932,0.6858,0.759477
0.112701,0.685555,0.758611
0.113471,0.685311,0.757749
0.11424,0.685067,0.756891
0.11501,0.684823,0.756037
0.11578,0.684579,0.755185
0.116549,0.684336,0.754338
0.117319,0.684092,0.753493
0.118088,0.683849,0.752652
0.118858,0.683607,0.751815
0.119627,0.683364,0.75098
0.120397,0.683121,0.750149
0.121166,0.682879,0.749321
0.121936,0.682637,0.748497
0.122705,0.682395,0.747675
0.123475,0.682153,0.746856
0.124244,0.681911,0.746041
0.125014,0.68167,0.745228
0.125784,0.681428,0.744418
0.126553,0.681187,0.743612
0.127323,0.680946,0.742808
0.128092,0.680705,0.742007
0.128862,0.680464,0.741208
0.129631,0.680224,0.740413
0.130401,0.679983,0.73962
0.13117,0.679743,0.73883
0.13194,0.679502,0.738043
0.132709,0.679262,0.737258
0.133479,0.679022,0.736476
0.134248,0.678782,0.735697
0.135018,0.678542,0.73492
0.135788,0.678303,0.734146
0.136557,0.678063,0.733374
0.137327,0.677823,0.732605
0.138096,0.677584,0.731838
0.138866,0.677345,0.731074
0.139635,0.677106,0.730313
0.140405,0.676866,0.729554
0.141174,0.676628,0.728797
0.141944,0.676389,0.728043
0.142713,0.67615,0.727291
0.143483,0.675911,0.726542
0.144253,0.675673,0.725795
0.145022,0.675434,0.725051
0.145792,0.675196,0.724309
0.146561,0.674958,0.723569
0.147331,0.67472,0.722832
0.1481,0.674482,0.722097
