q,WN_sin,WN_sn,A_sin,A_sn,A_cp
0.25,4.264e+08,4.26294e+08,0,0.00321586,0
0.24,4.239e+08,4.23838e+08,0.019751,0.0198239,0
0.23,4.21706e+08,4.21594e+08,0.0270213,0.0270973,0
0.22,4.19725e+08,4.19558e+08,0.0321795,0.0321586,0
0.21,4.17906e+08,4.17943e+08,0.0362651,0.0362409,0
0.2,4.16207e+08,4.16112e+08,0.0396804,0.039778,0
0.19,4.14613e+08,4.14482e+08,0.0426329,0.0426632,0
0.18,4.13104e+08,4.12757e+08,0.0452432,0.0452512,0
0.17,4.11663e+08,4.11337e+08,0.0475893,0.0475904,0
0.16,4.10281e+08,4.09806e+08,0.0497253,0.0498199,0
0.15,4.08957e+08,4.08489e+08,0.0516894,0.0517544,0
0.14,4.07676e+08,4.07256e+08,0.05351,0.0535226,0
0.13,4.06439e+08,4.05816e+08,0.055208,0.0552342,0
0.12,4.05239e+08,4.04491e+08,0.0568007,0.0568034,0
0.11,4.04076e+08,4.03349e+08,0.058302,0.0583304,0
0.1,4.02942e+08,4.0201e+08,0.0597233,0.0597319,0
0.09,4.01839e+08,4.00853e+08,0.0610726,0.0611013,0
0.08,4.0076e+08,3.99509e+08,0.0623587,0.0623578,0
0.07,3.99703e+08,3.98454e+08,0.0635879,0.0635895,0
0.06,3.98672e+08,3.97097e+08,0.0647643,0.0647978,0
0.05,3.9766e+08,3.96031e+08,0.0658945,0.0659055,0
0.04,3.96669e+08,3.94842e+08,0.066981,0.0669949,0
0.03,3.95696e+08,3.93759e+08,0.0680282,0.0679909,0
0.02,3.94739e+08,3.92669e+08,0.0690392,0.0690474,0
0.01,3.938e+08,3.91286e+08,0.0700164,0.0700142,0
0,3.92877e+08,3.90182e+08,0.070962,0.0708949,0.0752813
-0.01,3.91966e+08,3.89072e+08,0.0718793,0.0718369,0.0885875
-0.02,3.91068e+08,3.87953e+08,0.0727694,0.0726955,0.0966129
-0.03,3.90186e+08,3.86951e+08,0.0736334,0.0735441,0.102658
-0.04,3.89312e+08,3.85816e+08,0.0744741,0.0743831,0.107606
-0.05,3.88454e+08,3.84672e+08,0.075293,0.0752126,0.111838
-0.06,3.87608e+08,3.83519e+08,0.0760903,0.0759651,0.115565
-0.07,3.86769e+08,3.82358e+08,0.0768678,0.0767776,0.118909
-0.08,3.85941e+08,3.81185e+08,0.0776262,0.0775149,0.121952
-0.09,3.85122e+08,3.80004e+08,0.0783674,0.0782452,0.124752
-0.1,3.84313e+08,3.78815e+08,0.0790918,0.0789033,0.127351
-0.11,3.83516e+08,3.77606e+08,0.0798,0.0796209,0.129781
-0.12,3.82725e+08,3.76406e+08,0.0804929,0.0803322,0.132065
-0.13,3.81942e+08,3.75436e+08,0.0811716,0.0809733,0.134221
-0.14,3.81166e+08,3.74213e+08,0.0818359,0.0816094,0.136267
-0.15,3.80401e+08,3.7296e+08,0.0824879,0.0822405,0.138216
-0.16,3.79642e+08,3.7168e+08,0.0831267,0.0828669,0.140076
-0.17,3.7889e+08,3.70444e+08,0.0837532,0.0834886,0.141857
-0.18,3.78134e+08,3.69145e+08,0.084369,0.0841056,0.143567
-0.19,3.77418e+08,3.68105e+08,0.084973,0.0846572,0.145212
-0.2,3.76668e+08,3.66786e+08,0.0855666,0.0852658,0.146797
-0.21,3.75958e+08,3.65301e+08,0.0861502,0.0858098,0.148327
-0.22,3.75213e+08,3.63968e+08,0.0867233,0.0863505,0.149808
-0.23,3.74509e+08,3.62852e+08,0.0872873,0.0868877,0.151241
-0.24,3.73807e+08,3.6133e+08,0.0878424,0.0874217,0.152631
-0.25,3.73107e+08,3.59957e+08,0.0883888,0.0879524,0.153982
-0.26,3.7241e+08,3.5839e+08,0.0889265,0.08848,0.155294
-0.27,3.71716e+08,3.5704e+08,0.0894564,0.0889463,0.156571
-0.28,3.71025e+08,3.55465e+08,0.089978,0.089468,0.157816
-0.29,3.70336e+08,3.54037e+08,0.090492,0.0899291,0.159029
-0.3,3.69649e+08,3.52391e+08,0.0909986,0.0904452,0.160212
-0.31,3.69001e+08,3.50727e+08,0.0914984,0.0909014,0.161367
-0.32,3.6832e+08,3.4924e+08,0.091991,0.0913553,0.162497
-0.33,3.67641e+08,3.47351e+08,0.0924765,0.091807,0.163602
-0.34,3.67e+08,3.45451e+08,0.0929561,0.0922565,0.164682
-0.35,3.66325e+08,3.43696e+08,0.0934294,0.0927038,0.165741
