q,WN_sin,WN_sn,A_sin,A_sn,A_cp
0.25,0.707104,0.707104,0,0,0
0.24,0.700756,0.700732,0.142723,0.143178,0
0.23,0.696831,0.696653,0.18128,0.181659,0
0.22,0.693707,0.693615,0.206761,0.206761,0
0.21,0.691029,0.690764,0.226263,0.226385,0
0.2,0.688651,0.688251,0.242255,0.242384,0
0.19,0.686477,0.686252,0.25592,0.25593,0
0.18,0.684465,0.684085,0.267909,0.267862,0
0.17,0.682584,0.682243,0.278631,0.278837,0
0.16,0.680809,0.680065,0.288353,0.288531,0
0.15,0.679124,0.678383,0.297271,0.297489,0
0.14,0.677513,0.676703,0.30552,0.305369,0
0.13,0.675967,0.67519,0.313205,0.31305,0
0.12,0.674487,0.673172,0.32041,0.320546,0
0.11,0.673057,0.67146,0.3272,0.327109,0
0.1,0.671668,0.669928,0.33362,0.333542,0
0.09,0.670328,0.668388,0.33972,0.339485,0
0.08,0.669022,0.666835,0.345532,0.345326,0
0.07,0.667749,0.665768,0.351084,0.350714,0
0.06,0.66651,0.664199,0.356402,0.35602,0
0.05,0.665303,0.662616,0.361511,0.361248,0
0.04,0.664121,0.661026,0.366425,0.36606,0
0.03,0.662965,0.659624,0.371164,0.37081,0
0.02,0.661834,0.658491,0.375736,0.375167,0
0.01,0.66072,0.656866,0.380158,0.379473,0
0,0.659631,0.655434,0.384444,0.383732,0.439318
-0.01,0.658566,0.65426,0.388597,0.387943,0.485253
-0.02,0.657512,0.652812,0.392629,0.391791,0.517407
-0.03,0.656482,0.651141,0.396548,0.395601,0.542927
-0.04,0.655461,0.649922,0.400362,0.399375,0.564411
-0.05,0.654464,0.64844,0.404076,0.403113,0.583129
-0.06,0.653477,0.646951,0.407695,0.40651,0.599808
-0.07,0.652507,0.645681,0.411227,0.410183,0.614915
-0.08,0.651546,0.644172,0.414675,0.413521,0.628769
-0.09,0.650602,0.642867,0.41804,0.416833,0.641592
-0.1,0.649667,0.641331,0.421334,0.419821,0.653544
-0.11,0.648748,0.639999,0.424556,0.423084,0.664771
-0.12,0.647838,0.638438,0.427709,0.426028,0.675352
-0.13,0.646937,0.636865,0.430799,0.429244,0.685383
-0.14,0.646046,0.63548,0.433823,0.432146,0.694917
-0.15,0.64517,0.633884,0.436792,0.435029,0.704017
-0.16,0.644304,0.632461,0.439704,0.437893,0.712727
-0.17,0.643439,0.630842,0.442564,0.440454,0.721076
-0.18,0.64259,0.629609,0.445368,0.443283,0.729109
-0.19,0.64175,0.62813,0.448124,0.445814,0.736845
-0.2,0.640912,0.626439,0.450835,0.448609,0.744318
-0.21,0.64009,0.624944,0.453498,0.45111,0.751538
-0.22,0.639269,0.623023,0.456117,0.453597,0.758531
-0.23,0.638464,0.621667,0.458694,0.45607,0.76531
-0.24,0.63766,0.619705,0.461232,0.45853,0.771887
-0.25,0.636865,0.618302,0.463729,0.460977,0.778287
-0.26,0.636072,0.616301,0.466187,0.463141,0.784506
-0.27,0.635294,0.614673,0.46861,0.465564,0.790569
-0.28,0.634518,0.612934,0.470996,0.467707,0.79648
-0.29,0.63375,0.610908,0.47335,0.470106,0.802241
-0.3,0.632984,0.609131,0.475671,0.472229,0.807874
-0.31,0.632226,0.607012,0.477959,0.474342,0.813376
-0.32,0.631476,0.6052,0.480216,0.476445,0.818755
-0.33,0.630734,0.603051,0.482442,0.478539,0.824021
-0.34,0.629994,0.601204,0.484639,0.480625,0.829174
-0.35,0.629256,0.599026,0.486808,0.482442,0.834224
-0.36,0.628526,0.59675,0.488953,0.48451,0.839172
-0.37,0.627816,0.594773,0.491068,0.48657,0.844026
-0.38,0.627064,0.59253,0.493156,0.488365,0.848793
-0.39,0.626377,0.58986,0.495222,0.490408,0.853469
-0.4,0.625628,0.587488,0.49726,0.492189,0.858068
-0.41,0.624944,0.585081,0.499277,0.493964,0.862578
-0.42,0.624261,0.582046,0.501273,0.495732,0.867018
-0.43,0.623579,0.579523,0.50324,0.497494,0.871384
-0.44,0.622838,0.576598,0.505198,0.499249,0.875677
