q,WN_sin,WN_sn
0.25,0.707104,0.707104
0.24,0.703478,0.703746
0.23,0.699819,0.699842
0.22,0.696128,0.695936
0.21,0.692408,0.69237
0.2,0.688659,0.688448
0.19,0.684883,0.684517
0.18,0.681075,0.680558
0.17,0.677228,0.676615
0.16,0.67336,0.672293
0.15,0.66945,0.668481
0.14,0.665507,0.664135
0.13,0.661534,0.659777
0.12,0.657519,0.655735
0.11,0.653471,0.65135
0.1,0.649391,0.647077
0.09,0.64527,0.642282
0.08,0.641109,0.637654
0.07,0.63691,0.632824
0.06,0.632671,0.628256
0.05,0.628388,0.622961
0.04,0.624075,0.617876
0.03,0.619705,0.612755
0.02,0.615275,0.607658
0.01,0.610848,0.602068
0,0.606309,0.596637
-0.01,0.60178,0.590691
-0.02,0.597204,0.584754
-0.03,0.59253,0.578562
-0.04,0.587873,0.572031
-0.05,0.583072,0.566155
-0.06,0.578296,0.559251
-0.07,0.57344,0.552028
-0.08,0.568511,0.544706
-0.09,0.563514,0.536749
-0.1,0.558505,0.528665
-0.11,0.55339,0.519572
-0.12,0.548223,0.510247
-0.13,0.543011,0.499736
-0.14,0.537714,0.488964
-0.15,0.532338,0.476396
-0.16,0.526892,0.462475
-0.17,0.521383,0.446027
-0.18,0.515819,0.423909
-0.19,0.510123,0.389462
-0.2,0.50439,0.32898
-0.21,0.498547,0.326298
