#q	CpTsin	CpTsn
0.0405631	0.570609	0.651602
0.0415491	0.570431	0.650748
0.0425351	0.570253	0.649901
0.043521	0.570075	0.649059
0.044507	0.569897	0.648224
0.045493	0.56972	0.647394
0.046479	0.569543	0.646571
0.0474649	0.569366	0.645754
0.0484509	0.569189	0.644943
0.0494369	0.569012	0.644137
0.0504228	0.568836	0.643337
0.0514088	0.56866	0.642543
0.0523948	0.568484	0.641754
0.0533808	0.568308	0.64097
0.0543667	0.568132	0.640192
0.0553527	0.567957	0.639419
0.0563387	0.567781	0.638651
0.0573246	0.567606	0.637889
0.0583106	0.567431	0.637131
0.0592966	0.567256	0.636378
0.0602826	0.567081	0.635629
0.0612685	0.566906	0.634886
0.0622545	0.566731	0.634147
0.0632405	0.566556	0.633412
0.0642265	0.566381	0.632682
0.0652124	0.566207	0.631956
0.0661984	0.566032	0.631234
0.0671844	0.565858	0.630517
0.0681703	0.565683	0.629803
0.0691563	0.565509	0.629093
0.0701423	0.565335	0.628388
0.0711283	0.56516	0.627685
0.0721142	0.564986	0.626987
0.0731002	0.564812	0.626292
0.0740862	0.564637	0.6256
0.0750721	0.564463	0.624912
0.0760581	0.564289	0.624227
0.0770441	0.564114	0.623545
0.0780301	0.56394	0.622867
0.079016	0.563766	0.622191
0.080002	0.563591	0.621518
0.080988	0.563417	0.620848
0.0819739	0.563242	0.620181
0.0829599	0.563068	0.619517
0.0839459	0.562893	0.618855
0.0849319	0.562719	0.618196
0.0859178	0.562544	0.617539
0.0869038	0.56237	0.616884
0.0878898	0.562195	0.616232
0.0888758	0.56202	0.615582
0.0898617	0.561846	0.614935
0.0908477	0.561671	0.614289
0.0918337	0.561496	0.613646
0.0928196	0.561321	0.613004
0.0938056	0.561146	0.612365
0.0947916	0.560971	0.611727
0.0957776	0.560796	0.611091
0.0967635	0.560621	0.610457
0.0977495	0.560446	0.609825
0.0987355	0.560271	0.609194
0.0997214	0.560096	0.608566
0.100707	0.559921	0.607938
0.101693	0.559745	0.607313
0.102679	0.55957	0.606688
0.103665	0.559395	0.606066
0.104651	0.559219	0.605444
0.105637	0.559044	0.604825
0.106623	0.558869	0.604207
0.107609	0.558693	0.60359
0.108595	0.558518	0.602974
0.109581	0.558343	0.60236
0.110567	0.558167	0.601747
0.111553	0.557992	0.601136
0.112539	0.557817	0.600526
0.113525	0.557641	0.599918
0.114511	0.557466	0.59931
0.115497	0.557291	0.598704
0.116483	0.557116	0.5981
0.117469	0.55694	0.597497
0.118455	0.556765	0.596895
0.119441	0.55659	0.596295
0.120427	0.556415	0.595696
0.121413	0.556241	0.595099
0.122399	0.556066	0.594503
0.123385	0.555891	0.593909
0.124371	0.555717	0.593316
0.125357	0.555542	0.592724
0.126343	0.555368	0.592135
0.127329	0.555194	0.591547
0.128315	0.55502	0.590961
0.129301	0.554846	0.590376
0.130287	0.554673	0.589793
0.131273	0.554499	0.589212
0.132259	0.554326	0.588633
0.133244	0.554153	0.588056
0.13423	0.553981	0.587481
0.135216	0.553808	0.586908
0.136202	0.553636	0.586337
0.137188	0.553464	0.585768
0.138174	0.553292	0.585202
0.13916	0.553121	0.584638
0.140146	0.55295	0.584076
0.141132	0.552779	0.583517
0.142118	0.552608	0.58296
0.143104	0.552438	0.582405
0.14409	0.552268	0.581854
0.145076	0.552099	0.581305
0.146062	0.55193	0.580759
0.147048	0.551761	0.580216
0.148034	0.551592	0.579675
0.14902	0.551425	0.579138
0.150006	0.551257	0.578604
0.150992	0.55109	0.578073
0.151978	0.550923	0.577546
0.152964	0.550757	0.577021
0.15395	0.550591	0.5765
0.154936	0.550426	0.575983
0.155922	0.550261	0.575469
0.156908	0.550096	0.574958
0.157894	0.549932	0.574452
0.15888	0.549769	0.573949
0.159866	0.549606	0.573449
0.160852	0.549443	0.572954
0.161838	0.549281	0.572463
0.162824	0.54912	0.571975
0.16381	0.548959	0.571492
0.164796	0.548798	0.571012
0.165782	0.548638	0.570537
0.166768	0.548479	0.570066
0.167754	0.54832	0.569599
0.168739	0.548162	0.569136
0.169725	0.548004	0.568677
0.170711	0.547846	0.568223
