#q	Cp1sin	Cp1sn
-0.198565	90,365.4	105,837
-0.197764	90,482.9	105,927
-0.196963	90,600.8	106,017
-0.196162	90,719	106,107
-0.195362	90,837.6	106,198
-0.194561	90,956.4	106,289
-0.19376	91,075.6	106,381
-0.192959	91,195.1	106,473
-0.192158	91,314.9	106,565
-0.191357	91,435	106,657
-0.190556	91,555.4	106,750
-0.189755	91,676.2	106,843
-0.188954	91,797.2	106,936
-0.188154	91,918.5	107,030
-0.187353	92,040.1	107,124
-0.186552	92,162	107,218
-0.185751	92,284.2	107,313
-0.18495	92,406.7	107,408
-0.184149	92,529.5	107,503
-0.183348	92,652.5	107,599
-0.182547	92,775.8	107,694
-0.181746	92,899.4	107,791
-0.180945	93,023.2	107,887
-0.180145	93,147.4	107,984
-0.179344	93,271.7	108,081
-0.178543	93,396.4	108,178
-0.177742	93,521.3	108,275
-0.176941	93,646.5	108,373
-0.17614	93,771.9	108,471
-0.175339	93,897.5	108,570
-0.174538	94,023.5	108,669
-0.173737	94,149.6	108,768
-0.172937	94,276	108,867
-0.172136	94,402.7	108,966
-0.171335	94,529.6	109,066
-0.170534	94,656.7	109,166
-0.169733	94,784.1	109,266
-0.168932	94,911.7	109,367
-0.168131	95,039.5	109,468
-0.16733	95,167.6	109,569
-0.166529	95,295.9	109,671
-0.165729	95,424.4	109,772
-0.164928	95,553.2	109,874
-0.164127	95,682.1	109,976
-0.163326	95,811.3	110,079
-0.162525	95,940.8	110,182
-0.161724	96,070.4	110,285
-0.160923	96,200.3	110,388
-0.160122	96,330.3	110,491
-0.159321	96,460.6	110,595
-0.158521	96,591.2	110,699
-0.15772	96,721.9	110,804
-0.156919	96,852.8	110,908
-0.156118	96,984	111,013
-0.155317	97,115.4	111,118
-0.154516	97,247	111,223
-0.153715	97,378.8	111,329
-0.152914	97,510.8	111,435
-0.152113	97,643	111,541
-0.151313	97,775.5	111,648
-0.150512	97,908.1	111,754
-0.149711	98,041	111,861
-0.14891	98,174.1	111,969
-0.148109	98,307.4	112,076
-0.147308	98,440.9	112,184
-0.146507	98,574.6	112,292
-0.145706	98,708.6	112,400
-0.144905	98,842.7	112,509
-0.144105	98,977.1	112,618
-0.143304	99,111.7	112,727
-0.142503	99,246.5	112,837
-0.141702	99,381.5	112,946
-0.140901	99,516.8	113,056
-0.1401	99,652.3	113,167
-0.139299	99,788	113,277
-0.138498	99,923.9	113,388
-0.137697	100,060	113,499
-0.136897	100,196	113,611
-0.136096	100,333	113,723
-0.135295	100,470	113,835
-0.134494	100,607	113,947
-0.133693	100,744	114,060
-0.132892	100,882	114,173
-0.132091	101,019	114,286
-0.13129	101,157	114,400
-0.130489	101,296	114,514
-0.129689	101,434	114,628
-0.128888	101,573	114,743
-0.128087	101,712	114,858
-0.127286	101,851	114,973
-0.126485	101,991	115,088
-0.125684	102,130	115,204
-0.124883	102,270	115,320
-0.124082	102,411	115,437
-0.123281	102,551	115,554
-0.122481	102,692	115,671
-0.12168	102,833	115,789
-0.120879	102,974	115,907
-0.120078	103,116	116,025
-0.119277	103,258	116,144
-0.118476	103,400	116,263
-0.117675	103,543	116,382
-0.116874	103,685	116,502
-0.116073	103,828	116,622
-0.115273	103,972	116,742
-0.114472	104,115	116,863
-0.113671	104,259	116,984
-0.11287	104,404	117,106
-0.112069	104,548	117,228
-0.111268	104,693	117,351
-0.110467	104,838	117,473
-0.109666	104,984	117,597
-0.108865	105,130	117,720
-0.108065	105,276	117,844
-0.107264	105,423	117,969
-0.106463	105,570	118,094
-0.105662	105,717	118,219
-0.104861	105,865	118,345
-0.10406	106,013	118,471
-0.103259	106,161	118,598
-0.102458	106,310	118,725
-0.101657	106,459	118,852
-0.100857	106,608	118,980
-0.100056	106,758	119,109
-0.0992547	106,908	119,238
-0.0984538	107,059	119,367
-0.0976529	107,210	119,497
-0.0968521	107,361	119,627
-0.0960512	107,513	119,758
-0.0952503	107,665	119,890
-0.0944494	107,818	120,021
-0.0936485	107,971	120,154
-0.0928476	108,125	120,286
-0.0920467	108,279	120,420
-0.0912458	108,433	120,554
-0.0904449	108,588	120,688
-0.089644	108,743	120,823
-0.0888432	108,899	120,958
-0.0880423	109,055	121,094
