q,WN_sin,WN_sn
0.25,0.707104,0.707104
0.24,0.698504,0.698427
0.23,0.692912,0.692919
0.22,0.688402,0.688282
0.21,0.68451,0.683996
0.2,0.68103,0.680403
0.19,0.677849,0.677323
0.18,0.674893,0.674075
0.17,0.672121,0.671338
0.16,0.669507,0.668396
0.15,0.667012,0.665824
0.14,0.664634,0.663238
0.13,0.66235,0.660637
0.12,0.660144,0.658346
0.11,0.658015,0.655721
0.1,0.655954,0.653586
0.09,0.653954,0.651134
0.08,0.652006,0.648969
0.07,0.650103,0.646498
0.06,0.648252,0.644495
0.05,0.646445,0.642282
0.04,0.644674,0.640246
0.03,0.642939,0.637725
0.02,0.64124,0.63566
0.01,0.639569,0.633584
0,0.637932,0.631482
-0.01,0.636323,0.629363
-0.02,0.634736,0.627252
-0.03,0.633175,0.625068
-0.04,0.631641,0.622899
-0.05,0.630127,0.620684
-0.06,0.628633,0.618485
-0.07,0.62719,0.61624
-0.08,0.625691,0.614012
-0.09,0.624261,0.611681
-0.1,0.622838,0.609604
-0.11,0.621482,0.607247
-0.12,0.620072,0.604909
-0.13,0.618728,0.602472
-0.14,0.61733,0.600457
-0.15,0.615999,0.597772
-0.16,0.614673,0.595337
-0.17,0.613353,0.592809
-0.18,0.612038,0.590414
-0.19,0.610789,0.587543
-0.2,0.609485,0.584972
-0.21,0.608246,0.582046
-0.22,0.606954,0.579469
-0.23,0.605725,0.576175
-0.24,0.604501,0.57344
-0.25,0.603282,0.570369
-0.26,0.602068,0.566921
-0.27,0.600859,0.563717
-0.28,0.599655,0.560148
