q,CpT_sin,CpT_sn
-0.509177,0.377427,0.44565
-0.508056,0.377668,0.445779
-0.506934,0.377889,0.445887
-0.505813,0.378092,0.445974
-0.504692,0.378277,0.446043
-0.503571,0.378444,0.446094
-0.502449,0.378596,0.446127
-0.501328,0.378732,0.446144
-0.500207,0.378855,0.446146
-0.499086,0.378963,0.446134
-0.497964,0.379059,0.446108
-0.496843,0.379143,0.446069
-0.495722,0.379215,0.446017
-0.494601,0.379278,0.445955
-0.493479,0.37933,0.445882
-0.492358,0.379373,0.4458
-0.491237,0.379408,0.445708
-0.490116,0.379435,0.445608
-0.488994,0.379455,0.4455
-0.487873,0.379468,0.445385
-0.486752,0.379476,0.445264
-0.485631,0.379478,0.445137
-0.484509,0.379476,0.445005
-0.483388,0.379469,0.444868
-0.482267,0.379459,0.444727
-0.481146,0.379445,0.444582
-0.480024,0.379429,0.444435
-0.478903,0.379411,0.444285
-0.477782,0.379391,0.444134
-0.476661,0.379369,0.44398
-0.475539,0.379347,0.443826
-0.474418,0.379325,0.443671
-0.473297,0.379303,0.443517
-0.472176,0.379281,0.443362
-0.471055,0.37926,0.443208
-0.469933,0.37924,0.443056
-0.468812,0.379222,0.442905
-0.467691,0.379206,0.442755
-0.46657,0.379192,0.442608
-0.465448,0.37918,0.442464
-0.464327,0.379172,0.442322
-0.463206,0.379166,0.442184
-0.462085,0.379164,0.442049
-0.460963,0.379166,0.441918
-0.459842,0.379172,0.441791
-0.458721,0.379182,0.441669
-0.4576,0.379196,0.441551
-0.456478,0.379215,0.441437
-0.455357,0.379239,0.441329
-0.454236,0.379268,0.441227
-0.453115,0.379302,0.441129
-0.451993,0.379342,0.441038
-0.450872,0.379388,0.440952
-0.449751,0.379439,0.440872
-0.44863,0.379496,0.440799
-0.447508,0.379559,0.440732
-0.446387,0.379629,0.440672
-0.445266,0.379705,0.440618
-0.444145,0.379787,0.440571
-0.443023,0.379876,0.440531
-0.441902,0.379972,0.440498
-0.440781,0.380075,0.440472
-0.43966,0.380184,0.440454
-0.438538,0.380301,0.440443
-0.437417,0.380424,0.440439
-0.436296,0.380555,0.440443
-0.435175,0.380692,0.440454
-0.434053,0.380837,0.440473
-0.432932,0.38099,0.4405
-0.431811,0.381149,0.440534
-0.43069,0.381316,0.440577
-0.429568,0.38149,0.440627
-0.428447,0.381672,0.440685
-0.427326,0.381861,0.44075
-0.426205,0.382057,0.440824
-0.425083,0.382261,0.440905
-0.423962,0.382472,0.440994
-0.422841,0.38269,0.441092
-0.42172,0.382916,0.441196
-0.420598,0.383149,0.441309
-0.419477,0.383389,0.44143
-0.418356,0.383637,0.441558
-0.417235,0.383892,0.441694
-0.416113,0.384154,0.441838
-0.414992,0.384423,0.44199
-0.413871,0.3847,0.442149
-0.41275,0.384983,0.442316
-0.411628,0.385274,0.44249
-0.410507,0.385571,0.442672
-0.409386,0.385876,0.442861
-0.408265,0.386187,0.443058
-0.407143,0.386505,0.443262
-0.406022,0.386829,0.443473
-0.404901,0.38716,0.443691
-0.40378,0.387498,0.443916
-0.402659,0.387842,0.444149
-0.401537,0.388193,0.444388
-0.400416,0.38855,0.444634
-0.399295,0.388913,0.444887
-0.398174,0.389282,0.445146
-0.397052,0.389657,0.445412
-0.395931,0.390038,0.445684
-0.39481,0.390425,0.445963
-0.393689,0.390817,0.446248
-0.392567,0.391215,0.446539
-0.391446,0.391619,0.446837
-0.390325,0.392028,0.44714
-0.389204,0.392443,0.447449
-0.388082,0.392862,0.447763
-0.386961,0.393287,0.448084
-0.38584,0.393716,0.44841
-0.384719,0.394151,0.448741
-0.383597,0.39459,0.449077
-0.382476,0.395034,0.449419
-0.381355,0.395483,0.449766
-0.380234,0.395935,0.450117
-0.379112,0.396393,0.450474
-0.377991,0.396854,0.450835
-0.37687,0.397319,0.451201
-0.375749,0.397789,0.451571
-0.374627,0.398262,0.451946
-0.373506,0.398739,0.452324
-0.372385,0.399219,0.452707
-0.371264,0.399703,0.453094
-0.370142,0.40019,0.453485
-0.369021,0.400681,0.453879
-0.3679,0.401175,0.454277
-0.366779,0.401671,0.454679
-0.365657,0.402171,0.455083
-0.364536,0.402674,0.455492
-0.363415,0.403179,0.455903
-0.362294,0.403686,0.456317
-0.361172,0.404196,0.456734
-0.360051,0.404709,0.457154
-0.35893,0.405224,0.457577
-0.357809,0.40574,0.458002
-0.356687,0.406259,0.45843
-0.355566,0.40678,0.45886
-0.354445,0.407302,0.459292
-0.353324,0.407826,0.459726
-0.352202,0.408352,0.460162
-0.351081,0.408879,0.4606
-0.34996,0.409407,0.46104
-0.348839,0.409937,0.461481
-0.347717,0.410467,0.461924
-0.346596,0.410999,0.462369
-0.345475,0.411532,0.462814
-0.344354,0.412065,0.463261
-0.343232,0.4126,0.463709
-0.342111,0.413134,0.464158
-0.34099,0.41367,0.464608
-0.339869,0.414206,0.465059
-0.338747,0.414742,0.46551
-0.337626,0.415278,0.465962
-0.336505,0.415815,0.466415
-0.335384,0.416352,0.466868
-0.334263,0.416888,0.467321
-0.333141,0.417425,0.467774
-0.33202,0.417962,0.468228
-0.330899,0.418498,0.468682
-0.329778,0.419034,0.469135
-0.328656,0.419569,0.469589
-0.327535,0.420104,0.470042
-0.326414,0.420638,0.470496
-0.325293,0.421172,0.470948
-0.324171,0.421705,0.471401
